Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
किस प्रकार की वस्तु का वर्णन किया जा रहा है?,ट्रे,सिल्वर गिल्ट ट्रे कब बनाई गई थी?,18वीं सदी के अंत में,ट्रे किससे बनी होती है?,"चाँदी, सोने का पानी चढ़ा हुआ",ट्रे कहाँ से है?,"हैदराबाद, भारत"
नेन,नेन,नेन,नेन,नेन,नेन,नेन,नेन
नेन,नेन,नेन,नेन,नेन,नेन,नेन,नेन
यह किस प्रकार की वस्तु है?,एक गैर-सचित्र पांडुलिपि से फोलियो,कला का शीर्षक क्या है?,कुरान की पांडुलिपि से फोलियो,कला के लिए किस माध्यम का प्रयोग किया जाता है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",कलाकृति का आकार इंच में क्या है?,एच. 19 1/2 इंच (49.5 सेमी) x डब्ल्यू. 14 इंच (35.5 सेमी)
वर्णित वस्तु का प्रकार क्या है?,एक पांडुलिपि से फोलियो,पांडुलिपि का विषय क्या है?,कुरान,पांडुलिपि की उत्पत्ति किस युग से हुई?,14 वीं शताब्दी,पांडुलिपि में किस विशिष्ट प्रकार की लिपि का उपयोग किया जाता है?,"मुहक्कक लिपि, नस्खी लिपि में अंतररेखीय फ़ारसी अनुवाद के साथ"
कला कृति का नाम क्या है?,कुरान की पांडुलिपि से फोलियो,कला कृति के निर्माण में किस माध्यम का उपयोग किया जाता है?,कागज पर स्याही,यह कला कृति किस सदी में बनाई गई थी?,14 वीं शताब्दी,कला कृति का वर्गीकरण क्या है?,कोडीस
कला का शीर्षक क्या है?,कुरान की पांडुलिपि से फोलियो,यह कला कब बनाई गई थी?,14 वीं शताब्दी,उपयोग की जाने वाली सामग्री और तकनीक क्या है?,कागज पर स्याही,फोलियो के सौंदर्यशास्त्र और स्क्रिप्ट का वर्णन करें।,फोलियो में नस्खी लिपि में अंतररेखीय फ़ारसी अनुवाद के साथ काली मुहक्कक लिपि की सात पंक्तियाँ हैं। श्लोक के अंत के निशान तीन लाल बिंदुओं से बने होते हैं।
वस्तु का नाम क्या है?,कुरान की पांडुलिपि से फोलियो,वस्तु कब बनाई गई थी?,14 वीं शताब्दी,वस्तु का माध्यम क्या है?,कागज पर स्याही,क्या दसों के समूह में सभी फोलियो दिखने में एक समान हैं?,"नहीं, फोलियो 1979.295.8-.10 कागज और स्याही के रंग में भिन्न हैं।"
कला का नाम क्या है?,ताउस (मयूरी),कला का निर्माण कब हुआ था?,19 वीं सदी,कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"लकड़ी, चर्मपत्र, धातु, पंख",कला में मोर का क्या महत्व है?,"मोर संगीत की देवी सरस्वती का प्रतिनिधित्व करता है, और भारतीय कविता में प्रेमालाप का एक रूपक है।"
कला में दर्शाए गए संगीत वाद्ययंत्र का नाम क्या है?,ढोलका,कला किस काल का प्रतिनिधित्व करती है?,19वीं सदी के अंत में,उपकरण के निर्माण के लिए किन सामग्रियों का उपयोग किया जाता है?,"लकड़ी, चमड़ा, पीतल, रस्सी",संगीत संबंधी विशेषताओं के आधार पर वाद्ययंत्र का वर्गीकरण क्या है?,मेम्ब्रानोफोन-दो सिरों वाला/बेलनाकार ड्रम
पाठ में वर्णित संगीत वाद्ययंत्र का प्रकार क्या है?,मेम्ब्रानोफोन-दो सिरों वाला/बेलनाकार ड्रम,तबला बनाने में किस सामग्री का उपयोग किया जाता है?,लकड़ी,समय के साथ तबला ड्रम का आकार कैसे बदल गया है?,"19वीं शताब्दी में, तबला ड्रम आज की तुलना में आकार में करीब थे, दाहिने हाथ का ड्रम (तबला) छोटा होता था और बाएं हाथ का ड्रम (बाया) बड़ा होता था।",18वीं और 19वीं शताब्दी में तबला ने किन अन्य संगीत वाद्ययंत्रों के साथ विकास किया?,सितार और सरोद
बया किस प्रकार का संगीत वाद्ययंत्र है?,"एक केतली ड्रम, जिसका उपयोग उत्तर भारतीय शास्त्रीय संगीत और नृत्य के साथ ड्रमों के एक सेट में किया जाता है।",बाया बनाने के लिए किन सामग्रियों का उपयोग किया जाता है?,लकड़ी और चमड़ा.,बाया का प्रदर्शन किस शताब्दी के दौरान किया गया था?,19वीं सदी के अंत में।,आधुनिक सेटों में तबला और बया के बीच आकार के अंतर का क्या महत्व है?,"आधुनिक तबला सेट में दाएं हाथ के छोटे तबला ड्रम और बाएं हाथ के बड़े बाया ड्रम होते हैं, जो 19वीं शताब्दी की तुलना में उनकी विभिन्न भूमिकाओं और संगीत प्रथाओं में बदलाव को दर्शाते हैं।"
कला कृति का नाम क्या है?,सुरसांगा,कलाकृति किस वर्ष बनाई गई थी?,सीए। 1880,कलाकृति बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"तून की लकड़ी, लौकी, हड्डी, हाथी दांत, आंत, तार",कला कृति किस प्रकार का उपकरण है?,कॉर्डोफोन-ल्यूट-प्लक्ड-अनफ़्रेटेड
कला वस्तु का नाम क्या है?,रबाब,रबाब कब बनाया गया था?,सीए। 1885,रबाब किससे बनता है?,तुन लकड़ी,रबाब किस प्रकार का संगीत वाद्ययंत्र है?,कॉर्डोफोन-ल्यूट-प्लक्ड-अनफ़्रेटेड
यंत्र का नाम क्या है?,सरोद,उपकरण किस वर्गीकरण से संबंधित है?,कॉर्डोफोन-ल्यूट-प्लक्ड-अनफ़्रेटेड,सरोद कब बना था?,सीए। 1885,उपकरण का उद्देश्य क्या है?,गायकों का साथ देने के लिए और उत्तर भारत में एकल वाद्य यंत्र के रूप में
नेन,नेन,नेन,नेन,नेन,नेन,नेन,नेन
घंटी की ऊंचाई कितनी है?,12 इंच (30.5 सेमी),घंटी किस सामग्री से बनी होती है?,पीतल,घंटी का हैंडल किससे सुशोभित है?,हनुमान की एक आकृति,घंटी घंटियों का प्रयोग किस प्रयोजन के लिए किया जाता है?,मंदिरों या घरेलू मंदिरों में देवताओं की पूजा करना और उन्हें श्रद्धांजलि अर्पित करना।
कला का नाम क्या है?,रणश्रृंग,यह किस प्रकार का एयरोफ़ोन है?,होंठ कांपने वाला हॉर्न,यह कहाँ बनाया गया था?,बंगाल,इसे कब बनाया गया था?,सीए। 1880
खंजरी किस प्रकार का वाद्ययंत्र है?,मेम्ब्रेनोफोन-सिंगल-हेडेड/फ्रेम ड्रम,खंजरी की उत्पत्ति कहाँ से होती है?,बंगाल,खंजरी किस सामग्री से बनाई जाती है?,"धातु, लकड़ी और त्वचा",खंजरी का व्यास लगभग कितना होता है?,3 इंच (7.6 सेमी)
कला का वर्गीकरण क्या है?,कॉर्डोफ़ोन-ल्यूट-प्लक्ड-फ़्रेटेड,सितार का निर्माण कब हुआ?,19वीं सदी के मध्य,कला का शीर्षक क्या है?,सितार,सितार को बनाने में किन सामग्रियों का उपयोग किया गया?,"लकड़ी, हाथीदांत, धातु"
उपकरण के निर्माण में किस सामग्री का उपयोग किया जाता है?,"लकड़ी, त्वचा और डोरी",इस यंत्र की असामान्य विशेषता क्या है?,यह ड्रम की तरह बना हुआ एक तार वाला वाद्य यंत्र है।,उपकरण की पिच कैसे बदली जाती है?,एक घुंडी की सहायता से डोरी के तनाव को समायोजित करके।,इस उपकरण का प्राथमिक उद्देश्य क्या है?,इसका उपयोग बाउल आस्था के धार्मिक गायकों द्वारा लयबद्ध संगत और धुनों के लिए किया जाता है।
आनंदलहरी किस प्रकार का वाद्ययंत्र है?,कॉर्डोफ़ोन,आनंदलहरी का निर्माण किस सामग्री से किया गया है?,लकड़ी और चमड़ा,आनंदलहारी कैसे बजाई जाती है?,एक लकड़ी के शरीर के माध्यम से एक पल्ट्रम के साथ एक स्ट्रिंग को खींचकर।,इस प्रकार के उपकरण का प्रयोग किस धार्मिक समूह द्वारा किया जाता था?,बंगाल में बाउल आस्था
कला का नाम क्या है?,रैंकिंकन,कला किस प्रकार का वाद्ययंत्र है?,इडियोफोन-हिला हुआ-क्रोटल घंटी,कला बनाने के लिए उपयोग की जाने वाली मुख्य सामग्री क्या है?,लोहा,घंटी के फ्रेम का व्यास लगभग कितना है?,25.4 सेमी (10 इंच)
कला किस प्रकार का वाद्ययंत्र है?,कॉर्डोफोन-ल्यूट-प्लक्ड-अनफ़्रेटेड,कला का निर्माण कब हुआ था?,19 वीं सदी,कला को बनाने के लिए किस माध्यम का उपयोग किया जाता है?,"लौकी, लकड़ी, हाथीदांत, हड्डी, पेंट, स्टील",कला में किन विषयों को दर्शाया गया है?,"गणेश, राम, हनुमान द्वारा संचालित, सीता और शिव के अवतार"
संगीत वाद्ययंत्र का नाम क्या है?,सितार,सितार का निर्माण कब हुआ?,19वीं सदी के मध्य,सितार किस प्रकार की सामग्री से बना है?,लकड़ी,प्रारंभिक सितार और आधुनिक वाद्ययंत्र के बीच महत्वपूर्ण अंतर क्या है?,आरंभिक सितार में सहानुभूतिपूर्ण तार नहीं थे।
कला का नाम और उसका वर्गीकरण क्या है?,सितार; कॉर्डोफ़ोन-ल्यूट-प्लक्ड-फ़्रेटेड,सितार कब बनाया गया था?,19वीं सदी के अंत में,सितार का माध्यम क्या है?,लकड़ी,इस विशेष सितार की असामान्य विशेषता क्या है?,इसमें शुतुरमुर्ग के अंडे जैसा शरीर है।
कला वस्तु का नाम क्या है?,तुरहा या कर्ण,वस्तु को बनाने के लिए किस माध्यम का उपयोग किया जाता है?,पीतल,वस्तु कब बनाई गई थी?,19वीं सदी के अंत में,वस्तु का वर्गीकरण क्या है?,एयरोफोन-लिप वाइब्रेटेड-ट्रम्पेट / ट्रॉम्बोन
सारंगी बनाने के लिए किन सामग्रियों का उपयोग किया जाता है?,"लकड़ी, धातु, चर्मपत्र, घोड़े के बाल, मोती की माँ, हाथी दांत, और पेंट",सारंगी का सामान्य आकार क्या है?,एल. 24 3/4 × डब्ल्यू. 8 1/4 × डी. 4 15/16 इंच (62.8 × 21 × 12.5 सेमी),सारंगी पर आमतौर पर किस प्रकार के तार का उपयोग किया जाता है?,"बकरी की आंत, लेकिन इस उदाहरण में शीर्ष दो तार धातु के हैं।",क्या इस विशेष सारंगी में सहानुभूतिपूर्ण तार हैं?,"नहीं, इसमें सहानुभूतिपूर्ण तार नहीं हैं, जो असामान्य है।"
कला का नाम क्या है?,सितार,कला किस सामग्री से बनी है?,लकड़ी,कला का वर्गीकरण क्या है?,कॉर्डोफ़ोन-ल्यूट-प्लक्ड-फ़्रेटेड,कला की लंबाई कितनी है?,88.9 सेमी (35 इंच)
यह कला किस प्रकार का संगीत वाद्ययंत्र है?,किन्नरी विना,यह यंत्र कब बनाया गया था?,19 वीं सदी,इस उपकरण को बनाने में किन सामग्रियों का उपयोग किया गया?,लकड़ी और लौकी,आज इस यंत्र का क्या महत्व है?,"यह केवल ग्रामीण, आदिवासी परिवेश में पाया जाता है, जो कभी शास्त्रीय संगीत का हिस्सा रहा है।"
कला का नाम क्या है?,गूंथा हुआ आटा,कला का निर्माण कब हुआ था?,19वीं सदी के अंत में,कला को बनाने के लिए किस माध्यम का उपयोग किया जाता है?,लकड़ी,कला किस वर्गीकरण के अंतर्गत आती है?,मेम्ब्रेनोफोन-सिंगल-हेडेड/फ्रेम ड्रम
कला का नाम क्या है?,घुंघरू,घुंघरू किस पदार्थ से बना होता है?,पीतल,घुंघरू का उद्देश्य क्या है?,"नर्तकों के टखनों पर पहनाकर, नृत्यों में, विशेष रूप से कथक में, लय को व्यक्त करना।",घुंघरू का व्यास कितना होता है?,"भीतरी व्यास: 2 1/2 इंच (6.4 सेमी), बाहरी व्यास: 4 1/16 इंच (10.3 सेमी)"
कला का नाम क्या है?,नागफनी,कला का निर्माण कब हुआ था?,19वीं सदी के अंत में,कला को बनाने के लिए किस माध्यम का उपयोग किया जाता है?,"तांबा, पॉलीक्रोम",कला का उद्देश्य क्या था?,इसका उपयोग सरगरा (संगीतकारों) द्वारा उत्तर-पश्चिमी भारत में शादियों और त्योहारों पर किया जाता था
कला का नाम क्या है?,कैंड्रापीरा,कला किस सामग्री से बनी है?,त्वचा और लोहा,कला के पीछे का प्रतीकवाद क्या है?,यह चंद्रमा का प्रतिनिधित्व करता है और इसे खिलाड़ी के माथे पर पहना जाता है।,इसे किस प्रकार के संगीत वाद्ययंत्र के रूप में वर्गीकृत किया गया है?,मेम्ब्रेनोफोन-सिंगल-हेडेड/फ्रेम ड्रम
श्रुति उपांग का उद्देश्य क्या है?,"इसका उपयोग ड्रोन संगत के रूप में किया गया था, जो पृष्ठभूमि में एक सतत नोट प्रदान करता था।",श्रुति उपांग किसने बजाया?,"इसे पुरुष संगीतकारों द्वारा बजाया जाता था जो देवदासी, महिला नर्तकियों के साथ आते थे जिन्होंने अपना जीवन एक देवता को समर्पित कर दिया था।",तमिलनाडु में श्रुति उपांग की गिरावट का क्या कारण है?,"नाच विरोधी अभियान और मद्रास देवदासी समर्पण निवारण अधिनियम 1947, जिसने देवदासी प्रथा को अपराध घोषित कर दिया।",1980 के दशक की शुरुआत में श्रुति उपांग अभी भी कहाँ उपयोग में था?,"आंध्र प्रदेश (मध्य भारत) में, जहां इसका उपयोग तेलुगु महाकाव्य गायकों के साथ ड्रोन वाद्ययंत्र के रूप में किया जाता था।"
यंत्र का नाम क्या है?,उडक्की,इसे कब बनाया गया था?,19वीं सदी के अंत में,यह किस चीज़ से बना है?,"लकड़ी, रस्सी और खाल",इसका उद्देश्य क्या है?,"इसका उपयोग एक नृत्य वाद्ययंत्र के रूप में, बौद्ध जुलूसों, मंदिर समारोहों और कैंडियन नृत्य विद्यालयों में रिहर्सल और नृत्य पाठों में किया जाता है।"
कला का नाम क्या है?,"सूर प्यार (मिश्रित सितार, तम्बूरा, एसराज)",कला का निर्माण कब हुआ था?,19वीं सदी के अंत में,कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"लौकी, लकड़ी, पॉलीक्रोम, स्टील और आंत के तार, हाथी दांत, धातु",कला के बारे में क्या अनोखा है?,"यह एक नया उपकरण है जिसमें तंबूरा, सितार और एसराज शामिल हैं जो बेस और पेग बॉक्स पर एक साथ जुड़े हुए हैं, अंग्रेजी, उर्दू और हिंदी में लेबल के साथ, उस समय लखनऊ के बहुसांस्कृतिक विश्वव्यापीवाद को उजागर करते हैं।"
कर्ण किस प्रकार का यंत्र है?,तुरही,कर्ण कब बनाया गया था?,19वीं सदी के अंत में,कर्ण किस पदार्थ से बना है?,पीतल,कर्ण की घंटी का व्यास कितना है?,5 1/2 इंच (14 सेमी)
वस्तु का नाम क्या है?,घंटी,घंटी का निर्माण किस सदी में हुआ था?,19 वीं सदी,घंटी बनाने के लिए किन सामग्रियों का उपयोग किया गया?,पीतल और कांच,घंटी का संभावित उद्देश्य क्या था?,विष्णु या शिव का सम्मान करना
कला किस प्रकार का वाद्ययंत्र है?,सितार,सितार का निर्माण कब हुआ था?,19वीं सदी के अंत में,सितार बनाने के लिए किन सामग्रियों का उपयोग किया जाता है?,"लौकी, लकड़ी, हाथीदांत, और धातु",सितार का आकार क्या है?,51 × 12 इंच (129.5 × 30.5 सेमी)
कला किस प्रकार का वाद्ययंत्र है?,कॉर्डोफ़ोन-ल्यूट-प्लक्ड-फ़्रेटेड,कला का नाम क्या है?,सितार,कला का निर्माण कब हुआ था?,19वीं सदी के अंत में,कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"लौकी, लकड़ी, हाथी दांत, धातु"
डमरू बजाते हुए अक्सर किसे दर्शाया गया है?,"शिव, विनाश और पुनर्जनन के हिंदू भगवान",यह विशिष्ट डमरू किस सामग्री से बना है?,"हाथीदांत, जड़ा चांदी",शिव के संबंध में डमरू का प्राथमिक कार्य क्या है?,लयबद्ध प्रतिध्वनि उत्पन्न करना जो ब्रह्मांड के अंतहीन नृत्य का प्रतीक है,क्या डमरू का उपयोग विशिष्ट सामाजिक समूहों तक ही सीमित है?,"नहीं, यह प्रतिबंधित नहीं है और इसका उपयोग पुजारियों से लेकर भिखारियों तक कोई भी कर सकता है"
कला का नाम क्या है?,सारंगी,कला का निर्माण कब हुआ था?,सीए। 1865,कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"लकड़ी, चर्मपत्र, हाथी दांत, आंत, और धातु",कला किस प्रकार का संगीत वाद्ययंत्र है?,कॉर्डोफोन-ल्यूट-झुका हुआ-निराश
शंख बनाने में किस सामग्री का उपयोग किया जाता है?,"शैल (टर्बिनेला पाइरम), पीतल, और मोम।",हिंदू धर्म में शंख का धार्मिक महत्व क्या है?,यह जल के देवता विष्णु से जुड़ा है।,शंख में किस प्रकार की फिटिंग लगी होती है?,"पीतल की फिटिंग, जो शैव अनुष्ठान से संबंध दर्शाती है।",शंख के अलंकृत शंक्वाकार सिरे पर कौन से प्रतीक और आकृतियाँ दर्शाई गई हैं?,"नागाओं की पंक्तियाँ (सर्प देवता), पुष्पमालाधारी कीर्तिमुख (""महिमा के चेहरे""), एक योनि डिजाइन (महिला ऊर्जा का प्रतीक), और एक यली (हाथी/शेर राक्षस) के साथ मकर (हाथी/मगरमच्छ राक्षस) का सिर ) इसके ऊपर आगे बढ़ते हुए।"
कला का नाम क्या है?,सुरसांगा,कला का निर्माण कब हुआ था?,19 वीं सदी,कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"लकड़ी, मोती, हाथीदांत",कला की वह अनोखी विशेषता क्या है जो इसे अन्य संगीत वाद्ययंत्रों से अलग करती है?,यह अपने डिजाइन में गणेश और सरस्वती दोनों को जोड़ता है और इसमें एक पतली लकड़ी की फेस प्लेट और धातु के तार हैं।
कला का नाम क्या है?,काइचिलियाम्बु (जहाज की खड़खड़ाहट),कला का निर्माण कब हुआ था?,19 वीं सदी,कला किस सामग्री से बनी है?,पीतल,कला का वर्गीकरण क्या है?,इडियोफोन-हिला-खड़खड़ाहट
वीणा किस प्रकार का वाद्य यंत्र है?,कॉर्डोफ़ोन-ज़िदर-प्लक्ड-ट्यूब,यह विशेष वीणा (बिन) कब बनाई गई थी?,19वीं सदी के मध्य,इस उपकरण को बनाने में किन सामग्रियों का उपयोग किया जाता है?,"लौकी, धातु, और मोम",फ़्रेट्स उपकरण से कैसे चिपके रहते हैं?,रालयुक्त मोम जैसे पदार्थ द्वारा
कला में संगीत वाद्ययंत्र का क्या नाम है?,तंजौर तंबूरा,उपकरण की भौतिक विशेषताओं का वर्णन करें।,"यह जैकवुड, शीशम, धातु और हड्डी से बना है, जिसकी लंबाई 57 1/2 इंच, चौड़ाई 15 इंच और गहराई 10 इंच है। इसमें गहरे रंग की लकड़ी की बॉडी पर हाथीदांत जड़ा हुआ है और एक कटोरे के आकार का लकड़ी का अनुनादक है।","इस यंत्र को ""पुरुष"" कहे जाने का क्या महत्व है?","इसे ""पुरुष"" कहा जाता है क्योंकि यह दो उपकरणों के समूह में बड़ा है।",इस उपकरण का पिछला मालिक कौन था?,"वाई जी श्रीमती, एक भारतीय नर्तक और गायिका"
इस वाद्य यंत्र का नाम क्या है?,बीन,वीणा बनाने के लिए किस सामग्री का उपयोग किया जाता है?,"जैकवुड, सोने की पत्ती, पपीयर-मैचे, हड्डी, स्टील और पीतल",वीणा द्वारा उत्पन्न अनोखी ध्वनि कौन सी है?,एक विशिष्ट गुंजन ध्वनि जिसे जवारी कहा जाता है,इस वीना का उपयोगकर्ता कौन था?,"वाई जी श्रीमती, एक गायिका और दृश्य कलाकार"
वस्तु का नाम क्या है?,हुक्का मत,वस्तु का माध्यम क्या है?,"रेशम, कपास, मखमल और कैनवास; धातु से लिपटे धागे, सेक्विन और मोतियों से कढ़ाई की गई",यह कलाकृति किस काल में बनाई गई थी?,सीए। 1800,इस वस्तु का उद्देश्य क्या था?,इसका उपयोग चटाई के रूप में हुक्का (पानी का पाइप) रखने और धूम्रपान करने वालों के लिए आरामदायक बैठने की जगह बनाने के लिए किया जाता था।
कलाकृति का नाम क्या है?,स्लाइडिंग टॉप के साथ फिलाग्री कास्केट,कलाकृति कब बनाई गई थी?,सत्रवहीं शताब्दी,कलाकृति बनाने के लिए किन सामग्रियों का उपयोग किया गया?,चाँदी की फिलाग्री और पार्सल-गिल्ट,संभवतः कलाकृति कहाँ बनाई गई थी?,शायद गोवा
कला का शीर्षक क्या है?,कट आउट,कला का कलाकार कौन है?,लॉकवुड डे फॉरेस्ट,कला का माध्यम क्या है?,पीतल; का पीछा किया,कला के डिज़ाइन के पीछे क्या प्रेरणा थी?,भारतीय कला और शिल्प
कटआउट किसने बनाया?,लॉकवुड डे फॉरेस्ट,कटआउट किस सामग्री से बना है?,पीतल,कटआउट के लिए लॉकवुड डी फ़ॉरेस्ट की प्रेरणा क्या थी?,भारतीय कला और शिल्प,ये कटआउट मूल रूप से किस उद्देश्य के लिए उपयोग किए गए थे?,वास्तुकला या फर्नीचर पर आभूषण के रूप में
कटआउट कला किसने डिज़ाइन की?,लॉकवुड डे फॉरेस्ट,कटआउट कला लगभग कब बनाई गई थी?,सीए। 1892,कटआउट बनाने के लिए किस सामग्री का उपयोग किया जाता है?,पीतल,कटआउट का उपयोग किस वस्तु को सजाने के लिए किया गया होगा?,वास्तुकला या फर्नीचर
प्रश्नाधीन कला कृति का नाम क्या है?,कट आउट,इस कला के पीछे कौन कलाकार है?,लॉकवुड डे फॉरेस्ट,कलाकृति किससे बनी है?,पीतल,इस कला कृति के डिज़ाइन की प्रेरणा क्या थी?,"भारतीय वास्तुकला, विशेष रूप से लकड़ी, प्लास्टर और पत्थर के उदाहरण।"
कटआउट किसने डिज़ाइन किया?,लॉकवुड डे फॉरेस्ट,कटआउट कब बनाया गया था?,सीए। 1892,कटआउट के डिज़ाइन को किसने प्रेरित किया?,"भारतीय कला और शिल्प, विशेष रूप से भारतीय वास्तुकला में लकड़ी, प्लास्टर और पत्थर के उदाहरण पाए जाते हैं",कटआउट का इच्छित उपयोग क्या था?,वास्तुकला या फर्नीचर पर आभूषण के रूप में
कला कृति का नाम क्या है?,पीतल का कटआउट,पीतल का कटआउट किसने बनाया?,लॉकवुड डे फॉरेस्ट,पीतल का कटआउट कब बनाया गया था?,सीए। 1892,पीतल का कटआउट बनाने के लिए किस माध्यम का उपयोग किया जाता है?,पीतल; का पीछा किया
कला वस्तु का नाम क्या है?,सुराही,कला वस्तु किस सदी में बनाई गई थी?,सत्रवहीं शताब्दी,कला वस्तु का माध्यम क्या है?,तांबा मिश्र धातु का पीछा किया और काम किया,कला वस्तु पर कौन से विशिष्ट धार्मिक शिलालेख पाए जाते हैं?,कुरान की आयतें और शिया इमामों के नाम
कलाकृति का नाम क्या है?,चक पहलवान का चित्र,कलाकृति कब बनाई गई थी?,सीए। 1660-1675,कलाकृति में किस माध्यम का प्रयोग किया जाता है?,"स्याही, पारभासी जलरंग, और कागज पर सोना",कलाकृति में किस प्रकार की कुश्ती को दर्शाया गया है?,पहलवानी
कला का शीर्षक और कलात्मक माध्यम क्या है?,"शीर्षक: ""नर पपीता पेड़""; माध्यम: कागज पर जलरंग",कला का निर्माण संभवतः कब और कहाँ हुआ था?,"सीए बनाया गया. 1790-1800, संभवतः कलकत्ता, भारत में",कला के संबंध में मेजर जेम्स नैथनियल रिंड का क्या महत्व है?,वह एक औपनिवेशिक अधिकारी थे जिन्होंने कला की शुरुआत की थी और उन्हें वनस्पतियों और जीवों में गहरी रुचि थी।,पपीते के पौधे के किस भाग को कला में दर्शाया गया है?,"नर फूल, जो पास के मादा फूलों को निषेचित करने और फल देने के लिए पराग का उत्पादन करते हैं।"
कलाकृति का शीर्षक क्या है?,कपास के पेड़ के फूल,कलाकृति कब बनाई गई थी?,सीए। 1800-1805,कलाकृति बनाने के लिए किस माध्यम का उपयोग किया जाता है?,कागज पर स्याही और जलरंग,लिनिअन प्रणाली के अनुसार कलाकृति में चित्रित पेड़ का नाम क्या है?,मोनाडेल्फिया पॉलीएंड्रा बॉम्बैक्स सीइबा
पेंटिंग का विषय कौन है?,"अलीवर्दी खान, मुर्शिदाबाद के शासक",पेंटिंग की सेटिंग क्या है?,"मुर्शिदाबाद अदालत, एक प्रांगण के अंदर और बाहर",पेंटिंग बनाने के लिए किन सामग्रियों का उपयोग किया गया?,कागज पर रंगद्रव्य और सोना,कलाकृति कब बनाई गई थी?,सीए। 1750-1753
कला का नाम क्या है?,चार यूरोपीय सज्जन,कला का निर्माण कब हुआ था?,सीए। 1860,यह किस प्रकार की कला है?,सचित्र एकल कार्य,कला किस विधा से संबंधित है?,कंपनी स्कूल पेंटिंग
कला का नाम क्या है?,बाघ-पंजे का हार,कला का निर्माण कब हुआ था?,सीए। 19 वीं सदी,कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"सोना, सोने के मोती, माणिक, पन्ना, हीरे, स्पिनेल और बाघ के पंजे",कला को बनाने के लिए किस तकनीक का उपयोग किया जाता है?,"कुन्दन, जिसमें पत्थरों को शुद्ध, दबाए हुए सोने द्वारा अपनी जगह पर रखा जाता है।"
वस्तु का नाम क्या है?,ओखल और मूसल,यह वस्तु कब बनाई गई थी?,सत्रवहीं शताब्दी,यह किस से बना है?,पत्थर,डिज़ाइन का महत्व क्या है?,"यह जीवन और मृत्यु के विरोधी प्रतीकवाद को जोड़ता है, जिसमें ओखली के रूप में एक मुस्लिम कब्र और मूसल के रूप में जीवन देने वाली लिंगम आकृति शामिल है। ऐसी वस्तुएँ तीर्थस्थलों और घरों से जुड़ी थीं जहाँ दवाएँ और खाद्य पदार्थ तैयार किए जाते थे।"
कला का नाम क्या है?,सामना करना,कला का निर्माण कब हुआ था?,मध्य से 17वीं सदी के अंत तक,कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"रेशम, धातु से लिपटा धागा, और लिनन; बुना",कला की संभावित उत्पत्ति क्या है?,"यह सफ़ाविद ईरान, मुग़ल भारत या रोम से हो सकता है। कलात्मक तत्व ईरान और भारत के बीच घनिष्ठ संबंध का सुझाव देते हैं, संभवतः यह टुकड़ा रोम में इकट्ठा किया गया है।"
