objectID,objectName,title,artistDisplayName,objectDate,medium,dimensions,city,classification,description,image_array,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
500709,Taūs (mayuri),Taūs (mayuri),,19th century,"Wood, parchment, metal, feathers",W. 45 1/2 × D. 5 7/8 in. (115.5 × 15 cm),,Chordophone-Lute-bowed-fretted,"Popular at nineteenth century Indian courts, this bowed lute borrows features of other Indian stringed instruments, such as the body shape of the sarangi and the frets and neck of the sitar. There are four melody strings and fifteen sympathetic strings that sound when the instrument is played to accompany popular religious song. The peacock is the vehicle of Sarasvatî, the goddess of music, and it appears in Indian poetry as a metaphor for courtship.","[[[98 98 98]
  [97 97 97]
  [97 97 97]
  ...
  [77 77 77]
  [77 77 77]
  [78 78 78]]

 [[97 97 97]
  [97 97 97]
  [96 96 96]
  ...
  [76 76 76]
  [77 77 77]
  [77 77 77]]

 [[97 97 97]
  [97 97 97]
  [96 96 96]
  ...
  [76 76 76]
  [76 76 76]
  [76 76 76]]

 ...

 [[87 87 87]
  [88 88 88]
  [88 88 88]
  ...
  [89 89 89]
  [88 88 88]
  [84 84 84]]

 [[86 86 86]
  [88 88 88]
  [89 89 89]
  ...
  [88 88 88]
  [88 88 88]
  [84 84 84]]

 [[86 86 86]
  [89 89 89]
  [89 89 89]
  ...
  [88 88 88]
  [88 88 88]
  [85 85 85]]]", What is the name of the art?, Taūs (mayuri), When was the art created?, 19th century, What materials were used to create the art?," Wood, parchment, metal, feathers", What is the significance of the peacock in the art?," The peacock represents Sarasvatî, the goddess of music, and is a metaphor for courtship in Indian poetry."
500711,Dholaka,Dholaka,,late 19th century,"Wood, skin, brass, cord",H. 38.1 cm (15 in.); Diam. (22.9 cm (9 in.),,Membranophone-double-headed / cylindrical drum,The dholaka (or dholak) is a barrel-shaped drum with two heads. It is played with the hand and a stick. This nineteenth-century example is rope-tensioned with brass rings that allow the player to adjust the tension on the heads.,"[[[103 102 106]
  [104 103 107]
  [105 104 108]
  ...
  [121 116 118]
  [119 114 116]
  [119 114 116]]

 [[102 101 105]
  [103 102 106]
  [104 103 107]
  ...
  [120 115 117]
  [120 115 117]
  [119 114 116]]

 [[102 101 105]
  [103 102 106]
  [103 102 106]
  ...
  [120 115 117]
  [120 115 117]
  [120 115 117]]

 ...

 [[204 206 207]
  [203 205 206]
  [203 205 206]
  ...
  [213 213 213]
  [214 214 214]
  [214 214 214]]

 [[204 206 207]
  [203 205 206]
  [203 205 206]
  ...
  [213 213 213]
  [214 214 214]
  [214 214 214]]

 [[204 206 207]
  [203 205 206]
  [202 204 205]
  ...
  [214 214 214]
  [214 214 214]
  [214 214 214]]]", What is the name of the musical instrument depicted in the art?, Dholaka, What period does the art represent?, Late 19th century, What materials are used to construct the instrument?," Wood, skin, brass, cord", What is the classification of the instrument in terms of its musical characteristics?, Membranophone-double-headed / cylindrical drum
500712,Tablā,Tablā,,late 19th century,"Wood, skin","H. 25.4 cm (10 in.), Diam. 19.1 cm (7-1/2 in.)",,Membranophone-double-headed / cylindrical drum,"The tablā, a cylindrical handdrum and bāyā, a kettle drum are performed together as a set of drums used to accompany the classical music and dance traditions of North India. Modern tablā sets usually feature smaller right-hand drums (tablā) made of wood and much larger left-hand drums (bāyā) made of clay or metal. During the nineteenth century the two drums were much closer in size than they are today. The development of the tablā in 18th and early 19th century corresponds with the development of the modern sitār and sarod and the gaining popularity of new genres of music and dance.","[[[187 189 190]
  [187 189 190]
  [188 187 189]
  ...
  [196 195 197]
  [196 195 197]
  [196 195 197]]

 [[189 191 192]
  [187 189 190]
  [188 187 189]
  ...
  [195 194 196]
  [195 194 196]
  [195 194 196]]

 [[189 188 190]
  [190 189 191]
  [190 187 189]
  ...
  [195 194 196]
  [195 194 196]
  [195 194 196]]

 ...

 [[177 178 182]
  [172 173 177]
  [177 176 180]
  ...
  [184 183 187]
  [182 181 185]
  [182 181 185]]

 [[174 175 179]
  [176 177 181]
  [177 176 180]
  ...
  [184 183 187]
  [182 181 185]
  [182 181 185]]

 [[176 175 179]
  [178 177 181]
  [178 177 179]
  ...
  [185 184 188]
  [184 183 187]
  [182 181 185]]]", What is the type of musical instrument described in the text?, Membranophone-double-headed / cylindrical drum, What is the material used to make the tablā?, Wood, How has the size of the tablā drums changed over time?," In the 19th century, tablā drums were closer in size than they are today, with the right-hand drum (tablā) being smaller and the left-hand drum (bāyā) being larger.", What other musical instruments did the tablā develop alongside in the 18th and 19th centuries?, Sitār and sarod
500713,Bāyā,Bāyā,,late 19th century,"Wood, skin",H. 21.6 cm (8-1/2 in.); Diam. of head 21.6 cm (9-1/2 in.),,Membranophone-double-headed / conical drum,"The tablā, a cylindrical handdrum and bāyā, a kettle drum are performed together as a set of drums used to accompany the classical music and dance traditions of North India. Modern tablā sets usually feature smaller right-hand drums (tablā) made of wood and much larger left-hand drums (bāyā) made of clay or metal. During the nineteenth century the two drums were much closer in size than they are today. The development of the tablā in 18th and early 19th century corresponds with the development of the modern sitār and sarod and the gaining popularity of new genres of music and dance.","[[[177 174 176]
  [178 175 177]
  [177 174 176]
  ...
  [180 179 181]
  [182 179 181]
  [182 179 181]]

 [[178 175 177]
  [178 175 177]
  [177 174 176]
  ...
  [181 180 182]
  [182 179 181]
  [182 179 181]]

 [[178 175 177]
  [178 175 177]
  [177 174 176]
  ...
  [184 181 183]
  [179 178 180]
  [179 178 180]]

 ...

 [[178 175 177]
  [179 176 178]
  [177 174 176]
  ...
  [175 172 174]
  [172 169 171]
  [169 166 168]]

 [[178 175 177]
  [179 176 178]
  [177 174 176]
  ...
  [175 172 174]
  [172 169 171]
  [170 167 169]]

 [[176 173 175]
  [177 174 176]
  [176 173 175]
  ...
  [175 172 174]
  [175 172 174]
  [173 170 172]]]", What type of musical instrument is Bāyā?," A kettle drum, used in a set of drums accompanying North Indian classical music and dance.", What materials are used to make Bāyā?, Wood and skin., During which century was the Bāyā exhibited?, Late 19th century., What is the significance of the size difference between the tablā and bāyā in modern sets?," Modern tablā sets feature smaller right-hand tablā drums and larger left-hand bāyā drums, reflecting their different roles and a change in musical practices compared to the 19th century."
500715,Sursanga,Sursanga,,ca. 1880,"Tun wood, gourd, bone, ivory. gut, wire",90cm x 26.5cm x 14cm,Bengal,Chordophone-Lute-plucked-unfretted,"The sursanga is one of many Indian lute instruments that were popular in the nineteenth century. Indian lutes figure prominently in ragamala paintings since they are commonly used to accompany singers and for melodic instrumental solos. The sursanga marks an important musical transition from the dhrupad vocal style to modern styles of khyal and thumri. The sursanga is thought to be a descendent of the Indian rabab and an ancestor of the sarod—the instrument made internationally renowned by Ali Akbar Khan. This elaborately decorated example, with gold on a green ground, is part of a suite of instruments donated to the Metropolitan Museum at the end of the nineteenth century by the renowned Indian musicologist Raja Sir Sourindro Mohun Tagore in an effort to promote the appreciation for Indian musical traditions worldwide.","[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]", What is the name of the art piece?, Sursanga, What year was the art piece created?, ca. 1880, What materials were used to create the art piece?," Tun wood, gourd, bone, ivory, gut, wire", What type of instrument is the art piece?, Chordophone-Lute-plucked-unfretted
500716,Rabab,Rabab,,ca. 1885,Tun wood,L. 114.3 cm (45 in.); D. 29.8 cm (11-3/4 in.),,Chordophone-Lute-plucked-unfretted,"In the 19th century when this Rabab was collected it was sometimes called a rudra vina, a Sanskrit term now associated the north Indian stick zither, the bin.","[[[178 178 178]
  [177 177 177]
  [177 177 177]
  ...
  [160 160 160]
  [161 161 161]
  [161 161 161]]

 [[180 180 180]
  [179 179 179]
  [178 178 178]
  ...
  [160 160 160]
  [160 160 160]
  [160 160 160]]

 [[181 181 181]
  [180 180 180]
  [179 179 179]
  ...
  [160 160 160]
  [160 160 160]
  [160 160 160]]

 ...

 [[163 163 163]
  [161 161 161]
  [160 160 160]
  ...
  [161 161 161]
  [165 165 165]
  [165 165 165]]

 [[162 162 162]
  [160 160 160]
  [159 159 159]
  ...
  [160 160 160]
  [164 164 164]
  [164 164 164]]

 [[164 164 164]
  [162 162 162]
  [161 161 161]
  ...
  [162 162 162]
  [161 161 161]
  [161 161 161]]]", What is the name of the art object?, Rabab, When was the Rabab created?, ca. 1885, What is the Rabab made of?, Tun wood, What type of musical instrument is the Rabab?, Chordophone-Lute-plucked-unfretted
500717,Sarod,Sarod,,ca. 1885,"Dun wood, parchment, wire & gut",L. 34 15/16 × D. 9 7/8 in. (88.8 × 25.1 cm),,Chordophone-Lute-plucked-unfretted,"When this sarod of north India was made in the late 19th century, singers used it to accompany themselves and the fingerboard was yet to be covered by a metal plate.  The instrument has been evolving since 1820 when it began to be popular.  Today, along the sitār, it is one of north India's favorite instruments.","[[[ 53  52  48]
  [ 54  53  49]
  [ 55  54  50]
  ...
  [ 46  45  41]
  [ 46  45  41]
  [ 46  45  41]]

 [[ 54  53  49]
  [ 54  53  49]
  [ 55  54  50]
  ...
  [ 46  45  41]
  [ 46  45  41]
  [ 46  45  41]]

 [[ 54  53  49]
  [ 54  53  49]
  [ 55  54  50]
  ...
  [ 46  45  41]
  [ 46  45  41]
  [ 46  45  41]]

 ...

 [[166 173 170]
  [164 171 168]
  [166 173 170]
  ...
  [153 158 156]
  [153 158 156]
  [154 159 157]]

 [[165 172 169]
  [166 173 170]
  [166 173 170]
  ...
  [153 158 156]
  [154 159 157]
  [154 159 157]]

 [[163 170 167]
  [167 174 171]
  [164 171 168]
  ...
  [152 157 155]
  [153 158 156]
  [153 158 156]]]", What is the name of the instrument?, Sarod, To what classification does the instrument belong?, Chordophone-Lute-plucked-unfretted, When was the sarod made?, ca. 1885, What is the purpose of the instrument?, To accompany singers and as a solo instrument in north India
500718,Māhatī Vīṇa,Māhatī Vīṇa,,ca. 1885,"Gourd, various materials",15 1/4 × 56 1/2 × 15 in. (38.7 × 143.5 × 38.1 cm),,Chordophone-Lute-plucked-fretted,"Variations of this stringed rudra vina with its two gourds are routinely depicted in ragamala paintings attesting to the popularity of the vina family of instruments. As seen in the paintings in this exhibition, musicians hold a rudra vina at an angle with one of the stabilizing gourds positioned above the left shoulder. Rudra vinas are closely associated with the dhrupad genre of North Indian classical music popular from the sixteenth to the mid-nineteenth century. Tansen, the legendary sixteenth-century musician in the court of the Mughal emperor Akbar, was a widely revered vina player. His influence on North Indian classical music cannot be overstated, and countless musicians today trace their musical lineage to him.","[[[242 242 242]
  [242 242 242]
  [242 242 242]
  ...
  [212 212 212]
  [212 212 212]
  [212 212 212]]

 [[242 242 242]
  [242 242 242]
  [242 242 242]
  ...
  [212 212 212]
  [212 212 212]
  [212 212 212]]

 [[242 242 242]
  [242 242 242]
  [242 242 242]
  ...
  [212 212 212]
  [212 212 212]
  [212 212 212]]

 ...

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [227 227 227]
  [227 227 227]
  [227 227 227]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [227 227 227]
  [227 227 227]
  [227 227 227]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [227 227 227]
  [227 227 227]
  [227 227 227]]]",,,,,,,,
500736,Ghanti (bell),Ghanti (bell),,last half 19th century,Brass,"Height: 12 in. (30.5 cm)
Diameter: 6 1/2 in. (16.5 cm)",,Idiophone-Struck-bell-clapper,"The handle of this bell consists of a finely wrought figure of Hanuman, the famous monkey general who, in Hindu mythology, led the army that helped Rama rescue his wife, Sita, from Ravana. The body of the bell is richly engraved with additional figures and floral designs. Priests use ghanti of different sizes to worship and pay homage to a god. This worship may occur in a temple or privately at home before the household shrine.","[[[173 168 170]
  [173 168 170]
  [173 168 170]
  ...
  [175 168 165]
  [186 179 182]
  [157 147 160]]

 [[173 168 170]
  [172 167 169]
  [172 167 169]
  ...
  [177 169 169]
  [186 179 184]
  [150 140 156]]

 [[172 167 169]
  [172 167 169]
  [172 167 169]
  ...
  [176 169 172]
  [185 177 187]
  [140 131 151]]

 ...

 [[205 200 201]
  [203 198 199]
  [205 200 201]
  ...
  [215 213 213]
  [215 213 213]
  [216 214 214]]

 [[204 199 200]
  [203 198 199]
  [206 201 202]
  ...
  [215 213 213]
  [215 213 213]
  [215 213 213]]

 [[206 201 202]
  [205 200 201]
  [206 201 202]
  ...
  [215 213 213]
  [215 213 213]
  [216 214 214]]]", What is the height of the bell?, 12 in. (30.5 cm), What material is the bell made of?, Brass, What is the handle of the bell adorned with?, A figure of Hanuman, For what purpose are ghanti bells used?, To worship and pay homage to gods in temples or household shrines.
500743,Ranasringa,Ranasringa,,ca. 1880,"Metal, muslin",Height: 14 in. (35.6 cm),Bengal,Aerophone-Lip Vibrated-horn,The Ranasringa is used in processions and for signaling.,"[[[101  72   0]
  [102  73   0]
  [104  75   1]
  ...
  [139 115   1]
  [138 114   0]
  [137 113   0]]

 [[102  73   0]
  [103  74   0]
  [104  75   1]
  ...
  [138 114   0]
  [138 114   0]
  [137 113   0]]

 [[102  73   0]
  [103  74   0]
  [104  75   1]
  ...
  [137 113   0]
  [137 113   0]
  [138 114   0]]

 ...

 [[179 155  35]
  [182 159  37]
  [180 156  34]
  ...
  [194 177  91]
  [194 177  91]
  [194 177  91]]

 [[131 105  28]
  [132 105  25]
  [139 109  30]
  ...
  [195 181  93]
  [195 181  93]
  [195 181  93]]

 [[ 64  37   0]
  [ 64  35   0]
  [ 66  36   0]
  ...
  [195 181  92]
  [195 181  92]
  [195 181  92]]]", What is the name of the art?, Ranasringa, What type of aerophone is it?, Lip Vibrated Horn, Where was it made?, Bengal, When was it made?, ca. 1880
500748,Khanjari,Khanjari,,ca. 1885,"Metal, wood, skin",Diam. 3 × Depth 6 3/4 in. (7.6 × 17.1 cm),Bengal,Membranophone-single-headed / frame drum,"The khanjari is a small frame drum of southern India that has a single set of jingles.A circular frame over one edge of which a circular piece of skin is stretched and glued. An incision 1/2 inch wide a 2 1/2 in. in length on one side of frame through the centre of which is a wire supporting a circular cymbal of metal 2 in. in diam. Top half of drum painted black; bottom half painted red, both halves decorated with gold chevrons and other designs. (Allen Roda 2014)","[[[222 230 229]
  [222 230 229]
  [223 231 230]
  ...
  [237 245 244]
  [237 245 244]
  [237 245 244]]

 [[222 230 229]
  [222 230 229]
  [223 231 230]
  ...
  [237 245 244]
  [237 245 244]
  [237 245 244]]

 [[222 230 229]
  [222 230 229]
  [223 231 230]
  ...
  [237 245 244]
  [237 245 244]
  [237 245 244]]

 ...

 [[206 218 218]
  [206 218 218]
  [207 217 217]
  ...
  [225 233 233]
  [225 233 233]
  [225 233 233]]

 [[205 217 217]
  [205 217 217]
  [206 216 216]
  ...
  [225 233 233]
  [225 233 233]
  [225 233 233]]

 [[204 216 216]
  [204 216 216]
  [205 215 215]
  ...
  [225 233 233]
  [225 233 233]
  [225 233 233]]]", What type of instrument is the Khanjari?, Membranophone-single-headed / frame drum, Where does the Khanjari originate from?, Bengal, What materials is the Khanjari made from?," Metal, wood, and skin", What is the approximate diameter of the Khanjari?, 3 inches (7.6 cm)
500750,Sitar,Sitar,,mid-19th century,"Wood, ivory, metal",126cm x 25cm x 13cm,,Chordophone-Lute-plucked-fretted,"Six-stringed sitar with no sympathetic strings. The hexagonal, ivory inlaid wood body has a flat back and frets similar to the surbahar (bass sitar).","[[[ 89  89  89]
  [ 89  89  89]
  [ 89  89  89]
  ...
  [ 89  89  89]
  [ 89  89  89]
  [ 89  89  89]]

 [[ 89  89  89]
  [ 89  89  89]
  [ 89  89  89]
  ...
  [ 89  89  89]
  [ 89  89  89]
  [ 89  89  89]]

 [[ 89  89  89]
  [ 89  89  89]
  [ 89  89  89]
  ...
  [ 89  89  89]
  [ 89  89  89]
  [ 89  89  89]]

 ...

 [[190 190 190]
  [190 190 190]
  [190 190 190]
  ...
  [190 190 190]
  [190 190 190]
  [190 190 190]]

 [[190 190 190]
  [190 190 190]
  [190 190 190]
  ...
  [190 190 190]
  [190 190 190]
  [190 190 190]]

 [[190 190 190]
  [190 190 190]
  [190 190 190]
  ...
  [190 190 190]
  [190 190 190]
  [190 190 190]]]", What is the classification of the art?, Chordophone-Lute-plucked-fretted, When was the sitar created?, Mid-19th century, What is the title of the art?, Sitar, What materials were used to create the sitar?," Wood, ivory, metal"
500751,Ānandalaharī,Ānandalaharī,,ca. 1885,"Wood, skin, string",H. 25.4  x  Diam. 17 - 11 cm (10 x 6 11/16 -  4 5/16 in.),Bengal,Chordophone,"Although built like a drum, this is a chordophone (or stringed instrument). The body of the instrument (with the head pointing behind) is tucked under the player's left arm. A string that is attached in the center of the skin head passes through the wooden body and is longer than the shell. The player grasps a knob tied to the end of this string with their left hand. Sound is created by plucking the string with a small plectrum made of bone, plastic, or another material. The player can change the pitch by how much tension is appled to the knob (and thereby the string). Adept players can change the pitch quickly and achieve all manner of effects. The instrument can be used for rhythmic accompaniment or melodies. The instrument is typically used by religious singers of the Baul faith. It is one of a handful of similar types of stringed instruments used in the Indian subcontinent.Description: Wooden cylinder tube with skin glued to wider opening; skin with small central hole through which a twisted string is inserted and secured by a small round leather button; the string, longer than the cylinder, attaches to a red knob partially covered with hide; the cylinder painted with a leaf pattern in gold against a black field; cylinder with two holes to accomodate hide strap.","[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[225 238 252]
  [229 243 255]
  [228 240 252]
  ...
  [222 234 246]
  [223 235 247]
  [223 235 247]]

 [[225 241 253]
  [226 243 252]
  [228 239 253]
  ...
  [226 237 251]
  [225 236 250]
  [226 237 251]]

 [[225 241 253]
  [225 241 253]
  [229 241 253]
  ...
  [227 238 252]
  [227 238 252]
  [226 237 251]]]", What material is used in the making of the instrument?," Wood, skin, and string", What is the unusual characteristic of this instrument?, It is a stringed instrument built like a drum., How is the pitch of the instrument changed?, By adjusting the tension of the string with a knob., What is the primary purpose of this instrument?, It is used for rhythmic accompaniment and melodies by religious singers of the Baul faith.
500756,Ānandalaharī,Ānandalaharī,,late 19th century,"Wood, skin","H. 7 13/16 × Diam. 6 1/2 - 4 1/4 in. (19.9 × 16.5 - 10.8 cm)
Knob: 2 3/8 x 2 5/16 in. (6 x 5.9 cm)",,Chordophone,"Although built like a drum, this is a chordophone (or stringed instrument). The body of the instrument (with the head pointing back) is tucked under a player’s left arm. A string that is attached I the center of the skin head passes through the wooden body and is longer than the open shell. The player grasps a knob tied to the end of this string with their left hand. Sound is created by plucking the string with a small plectrum made of bone, plastic, or another material. The player can change the pitch by how much tension is applied to the knob (and thereby the string). Adept players can change the pitch quickly and achieve many different effects. The instrument can be used for rhythmic accompaniment or melodious. It is one of a handful of similar types of stringed instruments used in the Indian subcontinent. This type was used by religious sinters of the Baul faith in Bengal.Description: turned wood cylinder tube with skin glued to wider opening; skin with small central hole through which a twisted string (missing) is inserted and secured; a wood knob partially covered with hide; the cylinder with circumferential incising.","[[[238 238 238]
  [238 238 238]
  [238 238 238]
  ...
  [237 237 237]
  [237 237 237]
  [235 235 235]]

 [[239 239 239]
  [239 239 239]
  [239 239 239]
  ...
  [237 237 237]
  [236 236 236]
  [230 230 230]]

 [[240 240 240]
  [240 240 240]
  [239 239 239]
  ...
  [231 231 231]
  [229 229 229]
  [217 217 217]]

 ...

 [[250 250 250]
  [251 251 251]
  [252 252 252]
  ...
  [240 240 240]
  [239 239 239]
  [241 241 241]]

 [[251 251 251]
  [252 252 252]
  [253 253 253]
  ...
  [237 237 237]
  [237 237 237]
  [238 238 238]]

 [[252 252 252]
  [253 253 253]
  [253 253 253]
  ...
  [236 236 236]
  [235 235 235]
  [237 237 237]]]", What type of instrument is the Ānandalaharī?, Chordophone, What materials is the Ānandalaharī constructed from?, Wood and skin, How is the Ānandalaharī played?, By plucking a string through a wooden body with a plectrum., By what religious group was this type of instrument used?, Baul faith in Bengal
500757,Rankinkan,Rankinkan,,late 19th century,Iron,"Diam. of frame 25.4 (10 in.), L. of handle 61 cm (24 in.)",,Idiophone-Shaken-crotal bell,This iron hoop strung with crotal bells is a very rare example of an instrument which aided in the induction of trance.,"[[[234 234 234]
  [234 234 234]
  [234 234 234]
  ...
  [240 240 240]
  [240 240 240]
  [240 240 240]]

 [[234 234 234]
  [234 234 234]
  [235 235 235]
  ...
  [240 240 240]
  [240 240 240]
  [240 240 240]]

 [[235 235 235]
  [235 235 235]
  [236 236 236]
  ...
  [240 240 240]
  [240 240 240]
  [240 240 240]]

 ...

 [[246 246 246]
  [246 246 246]
  [245 245 245]
  ...
  [235 235 235]
  [208 208 208]
  [141 141 141]]

 [[240 240 240]
  [242 242 242]
  [244 244 244]
  ...
  [243 243 243]
  [201 201 201]
  [128 128 128]]

 [[240 240 240]
  [242 242 242]
  [244 244 244]
  ...
  [243 243 243]
  [201 201 201]
  [128 128 128]]]", What is the name of the art?, Rankinkan, What type of instrument is the art?, Idiophone-Shaken-crotal bell, What is the main material used to create the art?, Iron, What is the approximate diameter of the bell's frame?, 25.4 cm (10 in.)
500758,Tambura,Tambura,,19th century,"Gourd, wood, ivory, bone, paint, steel","36 7/16 × 9 3/16 × 7 1/4 in. (92.5 × 23.3 × 18.4 cm)

Weight: under 40 lbs",,Chordophone-Lute-plucked-unfretted,"This decorative miniature tāmbūra would not have been used in musical performance, but was undoubtedly cherished for its beauty. Painted in South Indian (Mysore) style, it shows Ganesha in the center, Rāma fanned by Hanuman on the left, and Sita on the right. The back features various incarnations of Shiva.","[[[ 87  87  87]
  [ 87  87  87]
  [ 87  87  87]
  ...
  [ 87  87  87]
  [ 87  87  87]
  [ 86  86  86]]

 [[ 88  88  88]
  [ 87  87  87]
  [ 86  86  86]
  ...
  [ 87  87  87]
  [ 87  87  87]
  [ 86  86  86]]

 [[ 88  88  88]
  [ 87  87  87]
  [ 86  86  86]
  ...
  [ 88  88  88]
  [ 87  87  87]
  [ 87  87  87]]

 ...

 [[210 210 210]
  [210 210 210]
  [210 210 210]
  ...
  [210 210 210]
  [210 210 210]
  [210 210 210]]

 [[210 210 210]
  [210 210 210]
  [210 210 210]
  ...
  [209 209 209]
  [209 209 209]
  [209 209 209]]

 [[210 210 210]
  [210 210 210]
  [210 210 210]
  ...
  [210 210 210]
  [210 210 210]
  [211 211 211]]]", What type of instrument is the art?, Chordophone-Lute-plucked-unfretted, When was the art created?, 19th century, What is the medium used to create the art?," Gourd, wood, ivory, bone, paint, steel", What subjects are depicted in the art?," Ganesha, Rāma fanned by Hanuman, Sita, and Shiva's incarnations"
500759,Sitar,Sitar,,mid-19th century,Wood,53 1/2 × 14 13/16 × 3 1/2 in. (135.9 × 37.6 × 8.9 cm),,Chordophone-Lute-plucked-fretted,"The heart-shaped wood body on this early sitar is decorated with ivory inlay showing vegetal designs and the Tree of Life. Unlike the modern instrument, the sitar at this time did not have sympathetic strings.","[[[ 89  89  89]
  [ 89  89  89]
  [ 89  89  89]
  ...
  [ 89  89  89]
  [ 89  89  89]
  [ 89  89  89]]

 [[ 89  89  89]
  [ 89  89  89]
  [ 89  89  89]
  ...
  [ 89  89  89]
  [ 89  89  89]
  [ 89  89  89]]

 [[ 89  89  89]
  [ 89  89  89]
  [ 89  89  89]
  ...
  [ 89  89  89]
  [ 89  89  89]
  [ 89  89  89]]

 ...

 [[190 190 190]
  [190 190 190]
  [190 190 190]
  ...
  [190 190 190]
  [190 190 190]
  [190 190 190]]

 [[190 190 190]
  [190 190 190]
  [190 190 190]
  ...
  [190 190 190]
  [190 190 190]
  [190 190 190]]

 [[190 190 190]
  [190 190 190]
  [190 190 190]
  ...
  [190 190 190]
  [190 190 190]
  [190 190 190]]]", What is the name of the musical instrument?, Sitar, When was the sitar created?, Mid-19th century, What type of material is the sitar made from?, Wood, What is the significant difference between the early sitar and the modern instrument?, The early sitar did not have sympathetic strings.
500760,Sitār,Sitar,,late 19th century,Wood,L. 88.9 cm (35 in.); Diam. of body 11.4 cm (4-1/2 in.),,Chordophone-Lute-plucked-fretted,This small decorative sitar features an ostrich egg body and 7 strings.,"[[[242 242 242]
  [242 242 242]
  [242 242 242]
  ...
  [245 245 245]
  [245 245 245]
  [245 245 245]]

 [[242 242 242]
  [242 242 242]
  [242 242 242]
  ...
  [244 244 244]
  [244 244 244]
  [244 244 244]]

 [[242 242 242]
  [242 242 242]
  [242 242 242]
  ...
  [245 245 245]
  [245 245 245]
  [245 245 245]]

 ...

 [[235 235 235]
  [235 235 235]
  [234 234 234]
  ...
  [227 227 227]
  [227 227 227]
  [228 228 228]]

 [[236 236 236]
  [235 235 235]
  [235 235 235]
  ...
  [225 225 225]
  [227 227 227]
  [228 228 228]]

 [[236 236 236]
  [235 235 235]
  [235 235 235]
  ...
  [225 225 225]
  [228 228 228]
  [230 230 230]]]", What is the name of the art and its classification?, Sitār; Chordophone-Lute-plucked-fretted, When was the Sitar made?, Late 19th century, What is the medium of the Sitar?, Wood, What is the unusual feature of this particular Sitār?, It features an ostrich egg body.
500764,Turhā or Karnā,Turhā or Karnā,,late 19th century,Brass,"L. 28 1/2 ×  Diam.: bell 3 3/4 -  mouthpiece 1/4   in., Wgt.  0.5 lb.  (72.4 × 9.5 - ,578 cm, 226.799g)",,Aerophone-Lip Vibrated-trumpet / trombone,Turhā and Karnā are straight trumpets which came to India with the spread of Islam.  They are used in the royal Muslim naubat (wind and drum) temple and procession ensembles.,"[[[235 236 234]
  [235 236 234]
  [235 236 234]
  ...
  [229 230 228]
  [229 230 228]
  [233 234 232]]

 [[235 236 234]
  [235 236 234]
  [235 236 234]
  ...
  [228 229 227]
  [228 229 227]
  [228 229 227]]

 [[235 236 234]
  [235 236 234]
  [235 236 234]
  ...
  [229 230 228]
  [229 230 228]
  [226 227 225]]

 ...

 [[217 218 216]
  [216 217 215]
  [216 217 215]
  ...
  [210 211 209]
  [209 210 208]
  [210 211 209]]

 [[216 217 215]
  [215 216 214]
  [215 216 214]
  ...
  [211 212 210]
  [212 213 211]
  [211 212 210]]

 [[215 216 214]
  [214 215 213]
  [214 215 213]
  ...
  [211 212 210]
  [212 213 211]
  [211 212 210]]]", What is the name of the art object?, Turhā or Karnā, What is the medium used to create the object?, Brass, When was the object created?, Late 19th century, What is the classification of the object?, Aerophone-Lip Vibrated-trumpet / trombone
