objectID,primaryImageLink,objectName,title,artistDisplayName,objectDate,medium,dimensions,city,classification,description,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
454344,https://images.metmuseum.org/CRDImages/is/original/DP103079.jpg,Folio from an illustrated manuscript,"""Rama Receives Sugriva and Jambavat, the Monkey and Bear Kings"", Folio from a Ramayana",,ca. 1605,"Ink, opaque watercolor, and gold on paper","Painting: H. 10 7/8 in. (27.6 cm)
                 W. 7 1/2 in. (19.1 cm)
Page: H. 10 7/8 in. (27.6 cm)
            W. 7 1/2 in. (19.1 cm)
Mat: H. 19 1/4 in. (48.9 cm)
        W. 14 1/4 in. (36.2 cm)",,Codices,"Prince Rama’s victory over the demon king Ravana was won with the aid of the monkey and bear armies. Here, the blue-skinned Rama is seated in front of a curved pavilion with the monkey and bear kings, Sugriva and Jambavat, who stand before him with folded hands. The page comes from a copy of the Ramayana probably made for the Mughal courtier Bir Singh Deo of Datia.", What is the title of the art?," ""Rama Receives Sugriva and Jambavat, the Monkey and Bear Kings"", Folio from a Ramayana", What is the medium used in the art?," Ink, opaque watercolor, and gold on paper", What is the size of the painting?, H. 10 7/8 in. (27.6 cm) x W. 7 1/2 in. (19.1 cm), Why was the page probably made?, The page was probably made for the Mughal courtier Bir Singh Deo of Datia.
454357,https://images.metmuseum.org/CRDImages/is/original/DP107191.JPG,Folio from an illustrated manuscript,"""The Awakening of Kumbhakarna in the Golden City of Lanka"", Folio from a Ramayana",,ca. 1605,Opaque watercolor and gold on paper,"Painting: H. 10 7/8 in. (27.6 cm)
                 W. 7 1/2 in. (19.1 cm)
Page: H. 10 7/8 in. (27.6 cm)
            W.  7 1/2 in. (19.1 cm)
Mat: H. 19 1/4 in. (48.9 cm)
        W. 14 1/4 in. (36.2 cm)",,Codices,"Kumbhakarna, the giant brother of the demon Ravana, was tricked by the gods into asking Brahma for the boon of interminable sleep. Ravana built him a lavishly adorned palace, where he slumbered for one hundred years until being awakened by his demon attendants in the episode shown here. They are alerting him that Rama and Lakshmana, together with their monkey and bear armies, have attacked the city of Lanka.", What is the title of the artwork?," ""The Awakening of Kumbhakarna in the Golden City of Lanka""", When was the artwork created?, ca. 1605, What materials were used to create the artwork?, Opaque watercolor and gold on paper, What is the main subject of the artwork?, The awakening of the demon Kumbhakarna by his demon attendants
454358,https://images.metmuseum.org/CRDImages/is/original/DP107192.jpg,Folio from an illustrated manuscript,"""The Court of Ravana"", Folio from a Ramayana",,ca. 1605,Opaque watercolor and gold on paper,"Painting:  H. 10 7/8 in. (27.6 cm)
                  W. 7 7/16 in. (18.9 cm)
Page: H. 10 7/8 in. (27.6 cm)
            W. 7 7/16 in. (18.9 cm)
Mat:  H. 19 1/4 in. (48.9 cm)
         W. 14 1/4 in. (36.2 cm)",,Codices,"The page comes from a copy of the Ramayana probably made for the Mughal courtier Bir Singh Deo of Datia. Inspired by fifteenth-century Indian and Persian painting, this folio is unique from the others in this manuscript. The array of demon courtiers attending the ten-headed demon-king Ravana come right out of Safavid paintings of divs, while the ornament of the pavilion resembles the Persian tile decoration found in paintings from Shiraz.", What is the name of the art?," '""The Court of Ravana"", Folio from a Ramayana'", When was the art created?, ca. 1605, What materials were used to create the art?, Opaque watercolor and gold on paper, What is the inspiration behind the artwork?, Inspired by fifteenth-century Indian and Persian painting
454359,https://images.metmuseum.org/CRDImages/is/original/DP107193.jpg,Folio from an illustrated manuscript,"""The Death of King Dasharatha, the Father of Rama"", Folio from a Ramayana",,ca. 1605,Opaque watercolor and gold on paper,"Painting: H. 10 1/2 in. (26.7 cm)
                 W. 5 13/16 in. (14.8 cm)
Page: H. 10 7/8 in. (27.6 cm)
            W. 7 1/2 in. (19.1 cm)
Mat: H. 19 1/4 in. (48.9 cm)
         W. 14 1/4 in. (36.2 cm)",,Codices,"King Dasharatha emerges in the Ramayana as essentially a noble character, though flawed by the weakness that allowed him to be swayed by his second wife Kaikeyi, whose ambitions for her own son caused the king to banish the crown prince Rama for fourteen years. Having succumbed to this pressure, Dasharatha, plagued by regrets, took to his sickbed, where he eventually died of grief. The sorrow of his queens and female attendants is conveyed by their disheveled hair and by the cradling of their cheeks in their hands.", What is the title of the art?," ""The Death of King Dasharatha, the Father of Rama"", Folio from a Ramayana", What is the medium used to create the art?, Opaque watercolor and gold on paper, What is the approximate date of the art's creation?, ca. 1605, What is the classification of the art?, Codices
454400,https://images.metmuseum.org/CRDImages/is/original/LC-15_95_125_view2.jpg,Pendant,Pendant,,19th century,Gold,"H. 1 3/16 in. (3 cm)
W. 2 13/16 in. (7.2 cm)
D. 5/8 in. (1.6 cm)",,Jewelry,"Detailed granulation is known from Indian jewelry since antiquity. This elongated jewel may have been part of a necklace or a bazuband (upper arm band). The cylindrical shape references an amuletic form, that often held rolled-up papers with blessings or other protective words.This jewel was formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many items while traveling in India between 1879–1881. He collected many different examples of jewelry from India, including several of the same type. Today, his assemblage in the Met serves as a near-comprehensive study collection of Indian jewelry from the late nineteenth century.", What is the type of art?, Pendant, What is the approximate time period in which the art was likely created?, 19th century, What materials were used to create the art?, Gold, What is the former collection to which this art belonged prior to becoming part of the Met's collection?, Lockwood de Forest's collection
454429,https://images.metmuseum.org/CRDImages/is/original/DP231334.jpg,Illustrated single work,View of a Mosque and Gateway at Motijhil,Sita Ram,ca. 1814–23,Opaque watercolor on paper,"Painting: 
                 H.13 in. (33 cm)
                 W. 19 1/4 in. (48.9 cm)
Mat (Standard size B): 
                  H. 16 in. (40.6 cm)
                  W. 22 in. (55.9 cm)",,Codices,"Sitaram, the painter of this enchanting scene, was hired to record the travels of Francis Rawdon, the governor-general of Bengal between 1814 and 1821. The painting illustrates the Sang-i Dalan palace complex at Motijhil, Bengal, where the Rawdons traveled in 1817. The artist, working in the picturesque style, has chosen to depict the scene not by foregrounding the site’s majestic palace but rather by emphasizing a romanticized state of decay, with fallen debris from the nearby structures. In doing so, Sitaram creates a melancholic view suggesting a nostalgia for the Mughal Empire before the arrival of the British.", Who is the artist of the artwork?, Sita Ram, What is the medium of the artwork?, Opaque watercolor on paper, What does the artwork depict?," The Sang-i Dalan palace complex at Motijhil, Bengal, with an emphasis on its state of decay", What style is the artwork painted in?, Picturesque style
454601,https://images.metmuseum.org/CRDImages/is/original/sf2003-271a.jpg,Water pipe base,Base for a Water Pipe (Huqqa) with Poetry and Flowers,,early 18th century,"Zinc alloy; cast, engraved, inlaid with silver and brass (bidri ware)","H. 8 5/8 in. (21.9 cm)
Diam. 7 1/4 in. (18.4 cm)",,Metal,"The inlaid brass and silver decoration is placed in diagonal cartouches running along the body of the huqqa base, with Persian verses praising tobacco in nasta‘liq script. The poem on the body of the base consists of eleven rhymed couplets which contain several playful puns referring to the relaxation resulting from smoking a huqqa. This style of ornamentation with flowers and line-breaks resembles that in Deccani manuscript illuminations. It is rare to have inlaid calligraphy in bidri ware. This is thus an unusual piece.", What is the name of the art piece?, Base for a Water Pipe (Huqqa) with Poetry and Flowers, When was the art piece created?, early 18th century, What is the medium used in the art piece?," Zinc alloy; cast, engraved, inlaid with silver and brass (bidri ware)", What is unique about the decoration on the art piece?," The inlaid brass and silver decoration includes Persian verses praising tobacco in nasta‘liq script, making it an unusual piece with inlaid calligraphy in bidri ware."
454619,https://images.metmuseum.org/CRDImages/is/original/DP116022.jpg,Illustrated single work,The Emperor Aurangzeb Carried on a Palanquin,Bhavanidas,ca. 1705–20,Opaque watercolor and gold on paper,"H. 22 7/8 in. (58.1 cm)
W. 15 1/8 in. (38.4 cm)",,Codices,"The emperor Aurangzeb (r. 1656–1707) and his royal hunting party are shown here in one of the final grand imperial images of the Mughal era. Preparations for the chase are in progress, as evident from the row of hunters in the foreground and others who lead deer as bait or carry leafy screens for camouflage. Bhavanidas, painter of this scene, worked first at the Mughal court and then later moved to the Rajput court of Kishangarh, where he became its preeminent artist.", Who is the artist of the artwork?, Bhavanidas, What type of art is it?, Illustrated single work, What medium is used in the artwork?, Opaque watercolor and gold on paper, When was the artwork created?, ca. 1705–20
454623,https://images.metmuseum.org/CRDImages/is/original/DP246534.jpg,Album leaf,"""Spotted Forktail"", Folio from the Shah Jahan Album",Abu'l Hasan,recto: ca. 1610–15; verso ca. 1540,"Ink, opaque watercolor, and gold on silk","H. 15 3/16 in. (38.6 cm)
W. 10 3/8 in. (26.3 cm)",,Codices,"Jahangir (r. 1605–27) ordered this portrait of a spotted forktail from Abu'l Hasan, the artist upon whom he bestowed the honorific title ""Wonder of the Age."" The inscription states that the emperor’s servants hunted this particular bird but does not say whether they killed it or merely captured it before it was portrayed. The silk ground adds a particular luster to the painting, further enhanced by the bird’s shiny eye, which contains glittering chips of a reflective material, probably mica.", Who created the art?, Abu'l Hasan, What is the title of the art?," ""Spotted Forktail"", Folio from the Shah Jahan Album", What materials were used to create the art?," Ink, opaque watercolor, and gold on silk", What is the approximate creation date of the art?, recto: ca. 1610–15; verso ca. 1540
454624,https://images.metmuseum.org/CRDImages/is/original/DP246551.jpg,Album leaf,"""Black Buck"", Folio from the Shah Jahan Album",Manohar,recto: ca. 1615–20; verso: ca. 1530–50,"Ink, opaque watercolor, and gold on paper","H. 15 3/8 in. (39 cm)
W. 10 1/4 in. (26 cm)",,Codices,"The squarish format of this painting of a black buck, attributed to the artist Manohar, required filling the extra space within the ""window"" of the border, adroitly accomplished with two leaves of poetry, possibly taken from a type of narrow oblong manuscript known as a safina. The lower page, signed by the Persian master Sultan 'Ali Mashhadi in the triangular box at the right, contains verse by the great poet Jami. Manohar painted several versions of this subject for the emperor, who mentions his fondness for his favorite decoy black buck in his memoirs.", Who created the art?, Manohar, When was the art created?, Recto: ca. 1615–20; Verso: ca. 1530–50, What materials were used to create the artwork?," Ink, opaque watercolor, and gold on paper", What is the size of the artwork?, Height: 15 3/8 inches (39 cm); Width: 10 1/4 inches (26 cm)
454625,https://images.metmuseum.org/CRDImages/is/original/DP246543.jpg,Album leaf,"""Dancing Dervishes"", Folio from the Shah Jahan Album",Mir 'Ali Haravi,recto: ca. 1610; verso: ca. 1530–50,"Ink, opaque watercolor, and gold on paper","H. 15 3/16 in. (38.6 cm)
W. 10 3/16 in. (25.9 cm)",,Codices,"Ecstatic dervishes in this painting perform the sama, or mystical whirling dance. Although this dance was practiced as a means of achieving mystical states from very early times in the Islamic world, it was institutionalized at the end of the thirteenth century by Sultan Walad, son of the great mystical poet Jalaluddin Rumi, who died at Konya (present-day Turkey) in 1273.", What is the art's medium?," Ink, opaque watercolor, and gold on paper", What is the name of the specific type of dance depicted in the art?," Sama, or mystical whirling dance", Who is the artist who created the art?, Mir 'Ali Haravi, Which sultan institutionalized the practice of the sama dance at the end of the 13th century?," Sultan Walad, son of Jalaluddin Rumi"
454713,https://images.metmuseum.org/CRDImages/is/original/DP240174.jpg,Illustrated single work,A Common Indian Nightjar (Caprimulgus asiaticus),,ca. 1780,Opaque watercolor on paper,"Painting:  H. 18 5/8 in. (47.3 cm)
                  W. 11 1/8 in. (28.3 cm)
Mat: H. 27 in. (68.6 cm)
         W. 19 1/4 in. (48.9 cm)",probably Lucknow,Codices,"The Nightjar (Caprimulgus asiaticus) is sometimes known as ""goat sucker"" referring to the myth that these sweet-looking birds sucked on the milk of goats by night. While untrue, nightjars probably got this reputation for the close contact they had with goats while feeding on nearby insects. The artist has rendered each feather individually and marked lines on the legs, while situating the bird in an open landscape complete with tiny trees in the background.This painting comes from an album made for Claude Martin (1735–1800), a Frenchman in the service of Nawab Asaf ud-Daula (r. 1775–97) and the East India Company in Lucknow. It subsequently belonged to the family of Charles Jenkinson, the 1st Earl of Liverpool.", What type of bird is depicted in the artwork?, A Common Indian Nightjar (Caprimulgus asiaticus), What technique was used to create the artwork?, Opaque watercolor on paper, Where is the artwork currently housed?, The information provided does not specify the current location of the artwork.," Why was the Nightjar given its name ""goat sucker""?"," Due to the myth that it sucked on the milk of goats by night, although this is not true."
454718,https://images.metmuseum.org/CRDImages/is/original/DP273278.jpg,Illustrated single work,Two Sides of a Bengal River Fish,,ca. 1804,"Pencil, opaque watercolor, and gold on paper","Painting: H. 15 1/16 (38.3 cm)
                 W. 21 1/8 in. (53.7 cm)
Mat (Standard frame C): H. 22 1/4 (56.5 cm)
                                            W. 28 1/8 in. (71.4 cm)",Calcutta,Codices,"This painting most likely illustrates a Bengal tongue sole fish (Cynoglossus cynoglossus), so-called for its unusual flat shape. The artist who created this work has illustrated two views—top and bottom—of the same creature, executed on paper in pencil and watercolor with traces of gilding. The mottled, scaly surface of the fish’s body is carefully rendered with a subtle metallic sheen, as are its mouth and eyes and the dark spots along the body.The work is from the collection of Marquis Wellesley, governor-general of India between 1798 and 1805. His collection of natural history paintings numbered around 2,660 folios depicting plants, birds, mammals, insects, and fish. In his important position, Wellesley regularly received presents of rare flowers, birds, and animals from East India Company servants all over India and from travelers visiting from further east. The gifts were kept in a magnificent menagerie and recorded in paintings such as these.", What is the name and type of the art?," Illustrated single work, titled ""Two Sides of a Bengal River Fish""", When was the art created?, ca. 1804, What are the materials used in the art?," Pencil, opaque watercolor, and gold on paper", Whose collection does the art belong to?, Marquis Wellesley
454738,https://images.metmuseum.org/CRDImages/is/original/DP116018.jpg,Goa stone and container,Goa Stone and Gold Case,,late 17th–early 18th century,"Container: gold; pierced, repoussé, with cast legs and finials
Goa stone: compound of organic and inorganic materials","Goa stone: 
                Diam. 1 3/16 in. (3 cm)
Container: 
                H. 2 5/8 in. (6.7 cm)
                Diam. 5 11/16 in. (14.4 cm)",,Metal,"Goa stones, named for the place where they were manufactured by Jesuits in the late seventeenth century, were manmade versions of bezoars (gallstones from ruminants). Both types were used for their medicinal and talismanic powers. These treasured objects were encased in elaborate containers made of gold and silver and often exported to Europe. Surviving examples are recorded in European treasuries, including one made for the duke of Alba in the late sixteenth century (Kunsthistorisches Museum, Vienna). The stone was usually a compound of organic and inorganic materials, including bezoar, shell, amber, musk, resin, and crushed precious gems, which would be scraped and ingested with tea or water.The egg-shaped gold container enclosing this stone consists of hemispherical halves, each covered with a layer of pierced, chased, and chiseled gold foliate openwork. An arabesque surface pattern is overlaid with an ogival trellis containing a variety of beasts, some highly Europeanized, including unicorns and griffins. The source of these images is likely to have come to Goa through the Portuguese and may also reflect a particular European patron. (This example was brought to England in the eighteenth century by a British officer in the East India Company.)"," What is the significance of the name ""Goa stone""?"," Goa stones were manmade versions of bezoars, a type of gallstone from ruminants, and were named after the place where they were manufactured by Jesuits in the late 17th century.", What materials were used to create the Goa stone?," The Goa stone was a compound of organic and inorganic materials, including bezoar, shell, amber, musk, resin, and crushed precious gems.", What was the purpose of Goa stones?," Goa stones were used for their medicinal and talismanic powers, and were believed to have healing and protective properties.", What are the design elements featured on the gold container enclosing the Goa stone?," The gold container exhibits an arabesque surface pattern overlaid with an ogival trellis containing a variety of beasts, including unicorns and griffins, which were likely influenced by European design motifs."
454768,https://images.metmuseum.org/CRDImages/is/original/DP116016.jpg,Writing box,Writing Box,,late 16th–early 17th century,"Wood; veneered with ebony, inlaid with ivory and bone (partially stained), brass (sadeli technique)","H. 13 1/2 in. (34.3 cm)
W. 20 7/8 in. (53 cm)
D. 5 1/8 in. (13 cm)",,Wood,"The surfaces of this writing box are veneered with ebony and inlaid with ivory and sadeli, a type of micromosaic in use since antiquity. It is associated with the eastern Mediterranean region, from where it spread to Iran and India. This technique consists of binding together sections of diverse materials (tin, wood, ivory, bone, etc.), which are sliced transversally and formed into thin sheets of repeating patterns that are adhered to a wooden support.", What is the name of the art?, Writing Box, What materials were used to create the art?," Wood, ebony, ivory, bone, brass", When was the art created?, Late 16th–early 17th century, What is the technique used to inlay the ivory and bone?, Sadeli
455048,https://images.metmuseum.org/CRDImages/is/original/sf1996-98b.jpg,Non-illustrated album leaf,Calligraphic Folio with Persian Verses,,17th century,Opaque watercolor and gold on paper,"Whole page a: 
                       H. 18  1/8 in. (46 cm)
                       W. 12 5/8 in. (32 cm)
Whole page b:
                       H. 18 1/8 in. (46 cm)
                       W. 12 5/8 in. (32 cm)
Calligraphy page: 
                     H. 73/4 in. (19.6 cm)
                     W. 3 1/16 in. (7.6 cm)",,Codices,"Six lines of Persian poetry in nasta’liq appear in the central panel. The borders of this folio are executed with stenciling and marbling, through which figures of seated animals appear against a speckled ground.", What is the name of the art?, Calligraphic Folio with Persian Verses, When was the art created?, 17th century, What materials were used to create the art?, Opaque watercolor and gold on paper, What is the size of the calligraphy page?, H. 73/4 in. (19.6 cm) x W. 3 1/16 in. (7.6 cm)
455060,https://images.metmuseum.org/CRDImages/is/original/DP123175.jpg,Illustrated  album leaf,Preparations for a Hunt,,ca. 1680,Opaque watercolor on paper,"H. 6 5/8 in. (16.8 cm)
W. 11 in. (27.9 cm)",,Codices,"The painting depicts preparations for a royal hunt. A group of four nilgais, or blue bulls, are feeding in scrubland near a pond, while four imperial huntsmen dressed in green take shelter behind camouflage screens. In the far horizon, on the right, a distant hunting party approaches with elephants, horses, and flags. The reverse of the album page on which the painting was originally mounted had a European engraving depicting the story of Cain and Abel.", What is the subject of the painting?, Preparations for a royal hunt., What animals are featured in the painting?, Nilgais (blue bulls), Describe the clothing worn by the imperial huntsmen., Green hunting attire, What other elements can be seen in the background of the painting?," A distant hunting party with elephants, horses, and flags"
455064,https://images.metmuseum.org/CRDImages/is/original/DP123176.jpg,Tent panel,Panel of a Tent Lining,,1700–1740,"Cotton; plain weave, mordant painted and dyed, resist dyed","Textile: H. 77 1/2 in. (196.9 cm)
             W. 51 in. (129.5 cm)",Burhanpur,Textiles-Painted and/or Printed,"This panel was decorated using a traditional dyeing technique called kalamkari. This technique ws associated with the city of Burhanpur, which became a center for the production of dyed textiles in the late seventeenth and eighteenth centuries. Burhanpur textiles show great influence from the nearby Mughal tradition, favoring floral motifs within the cusped arches and arabesque decoration. On the Coromandel Coast, different types of kalamkari textiles were produced, including palampores (bed covers) made for the European market, and sarongs and ceremonial hangings traded to Southeast Asia. This panel lined an eighteenth-century Ottoman tent in Bulgaria, and its medallion-based design was probably made to suit that market.", What is the name of the textile being described?, Tent panel, What is the decoration technique used on the panel?, Kalamkari, When was the panel likely made?, 1700-1740, What was the original purpose of the panel?, To line an eighteenth-century Ottoman tent
455285,https://images.metmuseum.org/CRDImages/is/original/TR.289.2006.JPG,Panel,Ivory Panel from a Cabinet with Flowers and Birds,,late 17th century,Ivory veneer over wood,"H. 16 1/8 in. (41 cm)
W. 11 in. (27.9 cm)",,Ivories and Bone,"This plaque was probably once part of an ivory‑veneered cabinet, perhaps made for export to the Netherlands, where cabinets with floral designs made of exotic wood and materials were popular.", What is the name of the art object?, Ivory Panel from a Cabinet with Flowers and Birds, When was the art object created?, Late 17th century, What material is the art object made of?, Ivory veneer over wood, What was the potential purpose of the art object?," As part of an ivory-veneered cabinet, possibly for export to the Netherlands"
455548,https://images.metmuseum.org/CRDImages/is/original/DP238054.jpg,Folio from an illustrated manuscript,Folio from a Manuscript of the Raga Darshan of Anup,,dated 1214 AH/ 1799–1800 CE,Opaque watercolor on paper,"H. 14 5/16 in. (36.4 cm)
W. 10 1/16 in. (25.6 cm)",Hyderabad,Codices,"This folio from a Ragamala (garland of musical melodies) contains two paintings on either side.  Ragamala paintings, images associated with traditional Indian musical melodies, often depict scenes of love and celebration.  The paintings on this folio accompany the verses of Mah Laqa Bai Chanda, an eighteenth century courtesan from Hyderabad.  The scene occupying the bottom half of this page shows the Hindu festival of Holi being celebrated on the streets by the locals while the British residents of the town maintain safe distance from inside.  The patron Maharaj Raja Roa Rambha Jaiwant Nibalkar is identified in a dedication on another page, which is presently in another collection.", What is the name of the artwork?, Folio from an illustrated manuscript, What is the medium used to create the artwork?, Opaque watercolor on paper, What is the year the artwork was created?, 1799–1800 CE, What does the scene in the bottom half of the page depict?, The Hindu festival of Holi being celebrated on the streets by the locals while the British residents of the town maintain safe distance from inside.
456128,https://images.metmuseum.org/CRDImages/is/original/DP273289.jpg,Illustrated single work,Studies for European-Style Portrait Miniatures and a Damsel Arranging Flowers,,ca. 1870,Ink and watercolor on paper,"Page: 
        H. 12 in. (30.5 cm)
        W. 10 1/8 in. (25.7 cm)
Painting: 
        H. 8 in. (20.3 cm)
        W. 5 3/16 in. (13.2 cm)",,Codices,"This page comprises a series of individual portrait studies of European subjects in oval frames, likely preparations for small ivory brooches or pendants. The subjects are identified via inscriptions written in Persian. The central sketch depicts a lady in Indian dress and jewelry, though the treatment of her downcast, half-closed eye, delicate lips, and angular nose suggest a European or Anglo-Indian heritage. She arranges flowers in a vase on a European table.", What type of art is this?, Illustrated single work, What is the title of the work?, Studies for European-Style Portrait Miniatures and a Damsel Arranging Flowers, What is the medium used in this artwork?, Ink and watercolor on paper, What is the central sketch depicting?, A lady in Indian dress and jewelry arranging flowers in a vase on a European table
456312,https://images.metmuseum.org/CRDImages/is/original/DP231251.jpg,Spittoon,Spittoon or Incense Burner,,late 16th–early 17th century,"Brass; cast in sections, joined, engraved",H. 9 in. (22.9 cm),Bijapur or Golconda,Metal,"Such baluster-shaped vessels are seen in paintings from the Deccan and Mughal periods, most often on the ground at a royal gathering or held by an attendant. One is included in the nearby painting Sultan Ibrahim ‘Adil Shah II Venerates a Sufi Saint. The spiral fluting is fairly typical of Deccani metalwork, though surviving examples in this shape are exceedingly rare.", What is the name of the art object?, Spittoon or Incense Burner, When was the art object created?, Late 16th–early 17th century, What is the material used to create the art object?," Brass; cast in sections, joined, engraved", What is the unique characteristic of Deccani metalwork seen in this art object?, Spiral fluting
456313,https://images.metmuseum.org/CRDImages/is/original/DP162337.jpg,Plate,Plate,,18th century,"Silver; cast, pierced, engraved","H. 1/2 in. (1.3 cm)
Diam. 9 in. (22.9 cm)
Wt. 7.4 oz. (209.8 g)",Karimnagar,Metal,This pan plate is attributed to the city of Karimnagar known for its production of filigreed pieces located one hundred miles north of Hyderabad. A similarly filigreed pan box would most likely have accompanied this tray., What is the object depicted in the art?, Plate, When was the object created?, 18th century, What materials were used to create the object?," Silver; cast, pierced, engraved", Where is the object believed to have been made?, Karimnagar
456314,https://images.metmuseum.org/CRDImages/is/original/DP273284.jpg,Illustrated single work,"A Radish Plant, Seed, and Flower",,late 18th century,Ink and opaque watercolor on paper,"H. 18 3/4 in. (47.6 cm)
W. 24 1/2 (47.6 cm)",Calcutta,Codices,"This painting is from the collection of Major James Nathaniel Rind, an enthusiastic collector in India between 1778 and 1804. The unknown artist of this work has identified the specimen by way of the Persian writing on the right side of the page, which reads muli (radish), and has depicted it in three forms: as a plant, in its flowering form, and finally as a vegetable. This type, called ""Rat Tail"" or ""Madras"" radish (Raphanus caudatus), is bred especially for its pods, which appear more like green beans than the root radishes popular in North America.", What is the name of the art?," A Radish Plant, Seed, and Flower", When was the art created?, Late 18th century, What is the classification of the art?, Codices, What is the type of radish depicted in the art?, Rat Tail or Madras radish (Raphanus caudatus)
456342,https://images.metmuseum.org/CRDImages/is/original/DP238325.jpg,Illustrated manuscript,Futuh al-Haramayn (Description of the Holy Cities),Muhi al-Din Lari,dated 1089 AH/1678 CE,"Ink, opaque watercolor, and gold on paper","Text block: 
                H. 5 15/16 in. (15.1 cm)
                W. 3 in. (7.6 cm)
Entire page:
                 H. 7 3/8 in. (18.8 cm)
                 W. 4 5/16 in. (11 cm)",Kharepatan,Codices,"The Futuh al-Haramayn is a poetic description of the Holy Cities of Mecca and Medina, composed by Muhi al-din Lari in the early sixteenth century. Often lavishly illustrated, it provides instructions on the hajj pilgrimage rituals and descriptions of important sites Muslim pilgrims can visit. The Futuh was popular in the sixteenth and seventeenth centuries, when it was mainly copied in the Ottoman realm from Mecca to Istanbul, and also in Central Asia and India. Illustrations of sites and buildings are commonly shown from a bird’s-eye view. Symbols and other details enable the reader to identify sites where important miracles of the Prophet and other events took place. Differences in style and quality exist. This Deccani version presents considerable flourish through the curving orange lines of the trees, animated purple mountains concealing hidden grotesques at their rocky edges, and bright palette.", What is the name of the art?, Illustrated manuscript, Who is the artist of the art?, Muhi al-Din Lari, When was the art created?, 1089 AH/1678 CE, What is the medium used to create the art?," Ink, opaque watercolor, and gold on paper"
456921,https://images.metmuseum.org/CRDImages/is/original/wb-tr.152.1.2008.JPG,Illustrated single work,The Bara Imambara Complex at Lucknow,,ca. 1800,Ink and opaque watercolor on paper,"Painting: H. 22 1/8 in. (56.2 cm)
                 W. 15 1/2 in. (39.4 cm)",Lucknow,Codices,"The unknown artist of this work has created a bird’s-eye view of the Bara Imambara complex in the style of a European topographical study. It is a valuable historical record of several parts of the site, which were demolished during the Indian uprising of 1857. The distant gardens and structures seen on the upper left, for example, no longer exist. The Bara Imambara, whose name means “big shrine,” comprises the massive congregational mosque (seen at an angle at the upper right) and several interlocking forecourts. It is an important place of worship for Shia Muslims, who celebrate the religious festival of Muharram. This massive structure was commis-sioned by Nawab Asaf al-Daula of Lucknow as part of a famine-relief project.", What is the medium used in the artwork?, Ink and opaque watercolor on paper," What does ""Bara Imambara"" mean?"," ""Big shrine""", Who commissioned the Bara Imambara?, Nawab Asaf al-Daula of Lucknow, What happened to some of the structures in the Bara Imambara complex in 1857?, They were demolished during the Indian uprising
456922,https://images.metmuseum.org/CRDImages/is/original/DP231335.jpg,Illustrated single work,Three Noblemen in Procession on an Elephant,Venkatchellum,ca. 1790,Opaque watercolor and gold on paper,"Page: H. 18 3/4 in. (47.6 cm)
           W. 14 1/8 in. (35.9 cm)
Mat (standard size c): H. 22 in. (55.9 cm)
                                        W. 28 in. (71.1 cm)",Hyderabad,Codices,"A gaudily painted elephant carries an important nobleman and his attendants who are seated under a howdah. Around them march armies of Indian soldiers, wearing turbans and carrying swords, spears and standards ahead, while the rear is held up by another squad dressed in British army uniform. The identity of the nobleman is unknown as the identifying inscription on the domed canopy has flaked off. However, we can attribute the painting to Venkatchellam, a leading artist based at the Hyderabad court of Nizam ‘Ali Khan in the eighteenth century. A confident colorist, he relieves the formality by introducing lively villagers below who celebrate the parade.", What is the title of the artwork?, Three Noblemen in Procession on an Elephant, Who is the artist of the artwork?, Venkatchellum, What is the medium used to create the artwork?, Opaque watercolor and gold on paper, What is the size of the artwork?, Page: H. 18 3/4 in. (47.6 cm) x W. 14 1/8 in. (35.9 cm); Mat: H. 22 in. (55.9 cm) x W. 28 in. (71.1 cm)
456923,https://images.metmuseum.org/CRDImages/is/original/DP273291.jpg,Illustrated single work,"Ashoka Tree Flower, Leaves, Pod, and Seed",,first half 19th century,Opaque watercolor on paper,"Page: H. 23 1/4 in. (59.1 cm)
           W. 17 5/8 in. (44.8 cm)",probably Calcutta,Codices,"At the bottom of the page, the painting is inscribed Jonesia asoca, the Latin name for the tree commonly called Ashoka. Sanskrit for ""without sorrow,"" the term ""Ashoka"" refers to the bark’s reputed homeopathic properties for keeping women healthy. The tree itself is a rainforest tree prized for its foliage and fragrant flowers, which are carefully depicted here. As in the manner of scientific drawings, the branch is centered on the page, which has no background elements, and the pod and one of its seeds are shown in the top right corner. Three details of the flower are shown below, each labeled with letters and numbers and executed in shades of yellow, orange, and red.", What is the name of the artwork?," Ashoka Tree Flower, Leaves, Pod, and Seed", What is the medium used to create the artwork?, Opaque watercolor on paper, When was the artwork created?, First half of the 19th century, Where was the artwork likely created?, Calcutta
456926,https://images.metmuseum.org/CRDImages/is/original/DP335173.jpg,Ring,Ring,,17th century,Gold,"Max. Diam. 1 1/8 in. (2.9 cm)
Diam. of bezel. 3/4 in. (1.9 cm)",,Jewelry,"The flower-shaped bezel of this ring is flanked by two birds resting on scroll brackets. Parrots of this form are popular motifs found on South Indian ornaments, often seen in symmetrical pairs similar to this example. The flat platform of the bezel may have held another bird or three dimensional motif.", What is the name of the art piece?, Ring, When was the art piece created?, 17th century, What materials were used to create the art piece?, Gold, What is the classification of the art piece?, Jewelry
